input_dec,input_hex,dut_ceil_log2
923098061,0x37055bcd,30
925928085,0x37308a95,30
952809611,0x38cab88b,30
956877296,0x3908c9f0,30
961440945,0x394e6cb1,30
990621778,0x3b0bb052,30
1002940113,0x3bc7a6d1,30
1003555008,0x3bd108c0,30
1015995654,0x3c8edd06,30
1022121803,0x3cec574b,30
1031027068,0x3d74397c,30
1044932290,0x3e4866c2,30
1052780003,0x3ec025e3,30
1073741145,0x3ffffd59,30
1073741691,0x3fffff7b,30
1073741822,0x3ffffffe,30
1073741823,0x3fffffff,30
1073741824,0x40000000,30
1073741825,0x40000001,31
1073741826,0x40000002,31
1073741884,0x4000003c,31
1073742181,0x40000165,31
1073742203,0x4000017b,31
1073742427,0x4000025b,31
1073742516,0x400002b4,31
1073742559,0x400002df,31
1133996919,0x43976b77,31
1139458549,0x43eac1f5,31
1164153556,0x456392d4,31
1166927626,0x458de70a,31
1171222011,0x45cf6dfb,31
1178396598,0x463ce7b6,31
1199457547,0x477e450b,31
1205173470,0x47d57cde,31
1213473672,0x48542388,31
1213937110,0x485b35d6,31
1221470226,0x48ce2812,31
1225784806,0x490ffde6,31
1246356647,0x4a49e4a7,31
1253672816,0x4ab98770,31
1263451664,0x4b4ebe10,31
1276969322,0x4c1d016a,31
1282521700,0x4c71ba64,31
1294557534,0x4d29615e,31
1302420459,0x4da15beb,31
1305194442,0x4dcbafca,31
1305682664,0x4dd322e8,31
1323441787,0x4ee21e7b,31
1352250311,0x5099b3c7,31
1355573348,0x50cc6864,31
1357490885,0x50e9aac5,31
1368374206,0x518fbbbe,31
1373335893,0x51db7155,31
1374545950,0x51ede81e,31
1374820277,0x51f217b5,31
1386847002,0x52a99b1a,31
1389800007,0x52d6aa47,31
1404967308,0x53be198c,31
1418836852,0x5491bb74,31
1430634917,0x5545c1a5,31
1431655765,0x55555555,31
1432482941,0x5561f47d,31
1439683906,0x55cfd542,31
1446348001,0x563584e1,31
1447711873,0x564a5481,31
1453073505,0x569c2461,31
1471613297,0x57b70971,31
1473489113,0x57d3a8d9,31
1474517289,0x57e35929,31
1485513334,0x588b2276,31
1488101331,0x58b29fd3,31
1489294080,0x58c4d300,31
1493160304,0x58ffd170,31
1495803866,0x592827da,31
1510774499,0x5a0c96e3,31
1513278883,0x5a32cda3,31
1515361901,0x5a52966d,31
1528599299,0x5b1c9303,31
1532590401,0x5b597941,31
1543756163,0x5c03d983,31
1547720003,0x5c405543,31
1552306719,0x5c86521f,31
1552824305,0x5c8e37f1,31
1554564614,0x5ca8c606,31
1564147118,0x5d3afdae,31
1566412218,0x5d5d8dba,31
1567287220,0x5d6ae7b4,31
1574701007,0x5ddc07cf,31
1583854291,0x5e67b2d3,31
1594627855,0x5f0c170f,31
1606769294,0x5fc55a8e,31
1641953536,0x61de3900,31
1643517516,0x61f6164c,31
1662221180,0x63137b7c,31
1664854534,0x633baa06,31
1665987375,0x634cf32f,31
1669037541,0x637b7de5,31
1673477330,0x63bf3cd2,31
1685112641,0x6470c741,31
1707882056,0x65cc3648,31
1710414368,0x65f2da20,31
1741465077,0x67cca5f5,31
1746592668,0x681ae39c,31
1755448256,0x68a203c0,31
1761240217,0x68fa6499,31
1778482402,0x6a017ce2,31
1781570655,0x6a309c5f,31
1789192092,0x6aa4e79c,31
1791594123,0x6ac98e8b,31
1797349116,0x6b215efc,31
1841207720,0x6dbe99a8,31
1874830678,0x6fbfa556,31
1894351025,0x70e980b1,31
1908997427,0x71c8fd33,31
1910931588,0x71e68084,31
1920566918,0x72798686,31
1922957402,0x729e005a,31
1927134326,0x72ddbc76,31
1930541997,0x7311bbad,31
1933411020,0x733d82cc,31
1937042570,0x7374ec8a,31
1948297087,0x7420a77f,31
1969174148,0x755f3684,31
1973485335,0x75a0ff17,31
1981150346,0x7615f48a,31
1987805651,0x767b81d3,31
1995642089,0x76f314e9,31
1996826272,0x770526a0,31
2042648999,0x79c059a7,31
2047092779,0x7a04282b,31
2054968016,0x7a7c52d0,31
2063456356,0x7afdd864,31
2075433470,0x7bb499fe,31
2085692829,0x7c51259d,31
2091013766,0x7ca25686,31
2105574647,0x7d8084f7,31
2115902460,0x7e1e1bfc,31
2117142579,0x7e310833,31
2118448864,0x7e44f6e0,31
2131487222,0x7f0be9f6,31
2132360933,0x7f193ee5,31
2139331051,0x7f8399eb,31
2147482719,0x7ffffc5f,31
2147482909,0x7ffffd1d,31
2147482922,0x7ffffd2a,31
2147483051,0x7ffffdab,31
2147483258,0x7ffffe7a,31
2147483394,0x7fffff02,31
2147483646,0x7ffffffe,31
2147483647,0x7fffffff,31
2147483648,0x80000000,31
2147483649,0x80000001,32
